team,players_used,Age,IDK what this is,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Alaves,31.66666667,28.06666667,42.1,38,418,3420,38,32.66666667,20.33333333,53,27,5.666666667,7,100,6.333333333,39.73333333,34.3,26.6,60.86666667,409,955.3333333,0.856666667,0.536666667,1.393333333,0.713333333,1.243333333,1.043333333,0.7,1.743333333,0.903333333,1.603333333
Amiens,27,27.4,45.6,28,308,2520,28,30,20,50,27,3,5,59,4,27.4,23.4,16.9,40.4,384,1013,1.07,0.71,1.79,0.96,1.68,0.98,0.6,1.58,0.84,1.44
Angers,29,27.76666667,46.7,34.66666667,381.3333333,3120,34.66666667,36,23,59,31,5,5.333333333,59.33333333,2.666666667,39.13333333,34.96666667,25.93333333,60.9,605,1290.666667,1.03,0.673333333,1.703333333,0.896666667,1.57,1.123333333,0.756666667,1.876666667,1.01,1.766666667
Arminia,26,25.9,41.5,34,374,3060,34,24.5,17,41.5,23,1.5,2,53.5,1.5,29.6,28,20.55,48.55,381.5,883.5,0.72,0.5,1.22,0.68,1.18,0.87,0.605,1.475,0.825,1.425
Arsenal,28.33333333,25.36666667,53.36666667,38,418,3420,38,56.33333333,38,94.33333333,51.66666667,4.666666667,5.666666667,68,4.666666667,53.1,48.9,35.56666667,84.53333333,769,1685.333333,1.48,1,2.48,1.36,2.363333333,1.396666667,0.936666667,2.333333333,1.286666667,2.223333333
Aston Villa,27.66666667,25.66666667,46.36666667,38,418,3420,38,47.33333333,37.33333333,84.66666667,44.33333333,3,4,74,2.333333333,46.93333333,43.9,35.46666667,79.36666667,640.3333333,1322.333333,1.246666667,0.983333333,2.226666667,1.17,2.15,1.233333333,0.933333333,2.17,1.153333333,2.09
Atalanta,30.66666667,27.33333333,55.6,38,418,3420,38,82.66666667,60.33333333,143,76.66666667,6,7.666666667,78,2.333333333,73.53333333,67.66666667,54.3,121.9333333,882.6666667,1934,2.176666667,1.586666667,3.763333333,2.016666667,3.603333333,1.936666667,1.43,3.366666667,1.78,3.21
Athletic Club,26.33333333,26.73333333,48.9,38,418,3420,38,41,29.33333333,70.33333333,36,5,7.333333333,87.33333333,3,44.73333333,39,31.66666667,70.7,647.3333333,1453,1.076666667,0.773333333,1.853333333,0.946666667,1.72,1.176666667,0.833333333,2.01,1.026666667,1.863333333
Atletico Madrid,27,27.16666667,50.5,38,418,3420,38,59.33333333,44.66666667,104,54.33333333,5,6.666666667,101.3333333,3.333333333,54.66666667,49.46666667,40.06666667,89.53333333,665.6666667,1466.666667,1.563333333,1.173333333,2.736666667,1.43,2.606666667,1.44,1.056666667,2.493333333,1.3,2.356666667
Augsburg,26.33333333,26.6,40.5,34,374,3060,34,39.66666667,26,65.66666667,36.33333333,3.333333333,5,71,2,39.03333333,35.1,26.5,61.6,427.6666667,899,1.166666667,0.763333333,1.933333333,1.07,1.833333333,1.15,0.776666667,1.926666667,1.03,1.81
Barcelona,30.33333333,26.8,65.36666667,38,418,3420,38,77.33333333,55,132.3333333,72,5.333333333,7,87,4.333333333,67.73333333,62.23333333,50.1,112.3,952,2092.666667,2.036666667,1.446666667,3.483333333,1.893333333,3.34,1.786666667,1.316666667,3.1,1.636666667,2.956666667
Bayer Leverkusen,27.66666667,25.3,58.86666667,34,374,3060,34,61.66666667,49,110.6666667,59.33333333,2.333333333,3.666666667,61.66666667,2.666666667,56,53.1,43.16666667,96.26666667,731.3333333,1444.666667,1.816666667,1.443333333,3.256666667,1.746666667,3.186666667,1.646666667,1.27,2.916666667,1.56,2.833333333
Bayern Munich,29.33333333,26.93333333,63.43333333,34,374,3060,34,95.66666667,73.33333333,169,89,6.666666667,7,44.66666667,2.666666667,84.8,79.33333333,65,144.3333333,864,2182.666667,2.813333333,2.16,4.97,2.62,4.773333333,2.493333333,1.91,4.406666667,2.33,4.243333333
Benevento,29,28.7,42.6,38,418,3420,38,40,26,66,35,5,7,95,5,40.6,35,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65
Bochum,28,28,44.7,34,374,3060,34,37,22,59,33,4,6,55,2,40.6,35.9,26.7,62.6,467,926,1.09,0.65,1.74,0.97,1.62,1.19,0.78,1.98,1.06,1.84
Bologna,34.66666667,27,51.33333333,38,418,3420,38,46.66666667,34.33333333,81,42.66666667,4,5,94.33333333,6,52.13333333,48.1,37.96666667,86.06666667,681.6666667,1488,1.226666667,0.903333333,2.133333333,1.123333333,2.026666667,1.373333333,1,2.37,1.263333333,2.263333333
Bordeaux,31,26.73333333,50.26666667,34.66666667,381.3333333,3120,34.66666667,43.66666667,33.33333333,77,41,2.666666667,3.333333333,74.66666667,3,39.6,37.03333333,28.96666667,65.96666667,564.6666667,1189.666667,1.276666667,0.97,2.24,1.196666667,2.166666667,1.133333333,0.83,1.966666667,1.063333333,1.896666667
Bournemouth,27,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Brentford,29,25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,45.8,41.1,33,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95
Brescia,32,25.6,40.6,38,418,3420,38,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69,537,1241,0.89,0.58,1.47,0.79,1.37,1.14,0.76,1.9,1.06,1.82
Brest,25,25.46666667,47.66666667,34.66666667,381.3333333,3120,34.66666667,42.66666667,30,72.66666667,39,3.666666667,5.666666667,55.33333333,2.666666667,41.36666667,36.86666667,28.93333333,65.8,588.6666667,1308.333333,1.22,0.873333333,2.1,1.123333333,1.996666667,1.186666667,0.833333333,2.016666667,1.053333333,1.886666667
Brighton and Hove Albion,26,26.13333333,52.56666667,38,418,3420,38,38,26,64,34.33333333,3.666666667,6,60,3.333333333,47.5,42.76666667,32.36666667,75.1,676.6666667,1579.333333,1,0.683333333,1.683333333,0.903333333,1.59,1.25,0.85,2.1,1.123333333,1.98
Burnley,23.33333333,28.26666667,41.4,38,418,3420,38,35,25.33333333,60.33333333,32.66666667,2.333333333,2.666666667,61,0.666666667,42.13333333,40.1,30.43333333,70.53333333,404.6666667,958,0.92,0.666666667,1.59,0.86,1.526666667,1.11,0.8,1.91,1.053333333,1.853333333
Cadiz,33.5,28.65,38.05,38,418,3420,38,34,18.5,52.5,30.5,3.5,5,93,3,37.1,33.2,22.5,55.7,513,967,0.895,0.485,1.38,0.8,1.285,0.975,0.595,1.57,0.87,1.465
Cagliari,32.66666667,26.8,45,38,418,3420,38,42.33333333,30,72.33333333,38.66666667,3.666666667,5,93.66666667,4.666666667,42.63333333,38.96666667,31.86666667,70.83333333,575,1201.333333,1.113333333,0.786666667,1.903333333,1.02,1.81,1.123333333,0.84,1.963333333,1.026666667,1.866666667
Celta Vigo,28.33333333,26.93333333,53.4,38,418,3420,38,45,31.33333333,76.33333333,39.66666667,5.333333333,7.333333333,100,4.666666667,44.23333333,38.53333333,30.56666667,69.16666667,616.3333333,1373,1.183333333,0.823333333,2.006666667,1.043333333,1.87,1.163333333,0.806666667,1.966666667,1.013333333,1.82
Chelsea,26.66666667,26.3,61.03333333,38,418,3420,38,66.66666667,45.33333333,112,59,7.666666667,8.666666667,58,1.333333333,65,58.5,44.36666667,102.8666667,924,1887.333333,1.753333333,1.193333333,2.946666667,1.55,2.743333333,1.71,1.166666667,2.876666667,1.54,2.706666667
Clermont Foot,28,26.9,50,38,418,3420,38,36,25,61,34,2,3,65,8,44.4,41.9,32.6,74.4,617,1370,0.95,0.66,1.61,0.89,1.55,1.17,0.86,2.03,1.1,1.96
Crotone,31,27.8,46.3,38,418,3420,38,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,1.16,0.71,1.87,0.92,1.63,1.06,0.63,1.69,0.88,1.51
Crystal Palace,24.33333333,28.53333333,45.5,38,418,3420,38,39.33333333,26.66666667,66,35.33333333,4,5,62.33333333,1.666666667,38.76666667,34.9,26.86666667,61.73333333,571.3333333,1194.666667,1.036666667,0.703333333,1.736666667,0.93,1.63,1.02,0.706666667,1.73,0.92,1.626666667
Dijon,30.5,26.3,46.35,33,363,2970,33,25.5,16,41.5,23.5,2,3,59.5,3.5,32.1,29.9,22.75,52.7,520.5,1056.5,0.795,0.5,1.295,0.735,1.235,0.99,0.71,1.695,0.93,1.63
Dortmund,28.66666667,25.76666667,59.73333333,34,374,3060,34,79.66666667,62.66666667,142.3333333,74.33333333,5.333333333,6.666666667,52,1,63.73333333,58.6,48.93333333,107.4666667,741.6666667,1649.666667,2.343333333,1.846666667,4.186666667,2.186666667,4.03,1.876666667,1.436666667,3.313333333,1.723333333,3.163333333
Dusseldorf,28,27.1,45.6,34,374,3060,34,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,1.06,0.76,1.82,0.94,1.71,1.06,0.71,1.77,0.96,1.67
Eibar,28,28.75,47.8,38,418,3420,38,33.5,22,55.5,28,5.5,9.5,81.5,3,43.6,36.25,27.95,64.2,465.5,1280,0.88,0.58,1.46,0.74,1.315,1.145,0.735,1.885,0.955,1.685
Eintracht Frankfurt,26.33333333,26.8,51.4,34,374,3060,34,54.33333333,43.33333333,97.66666667,50.66666667,3.666666667,4,71.33333333,2,53.2,50.1,40.26666667,90.36666667,650,1397.333333,1.596666667,1.273333333,2.873333333,1.493333333,2.766666667,1.563333333,1.183333333,2.746666667,1.476666667,2.656666667
Elche,29,28.6,47.95,38,418,3420,38,36,27,63,34.5,1.5,2,101.5,4.5,31.8,30.2,24.7,54.95,515.5,1014.5,0.95,0.71,1.66,0.91,1.615,0.84,0.65,1.485,0.79,1.445
Empoli,28,24.5,47.4,38,418,3420,38,47,27,74,40,7,7,87,5,44.9,39.3,28.9,68.3,658,1477,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.8
Espanyol,32.5,27.7,47.15,38,418,3420,38,32,21,53,27.5,4.5,4.5,103,8,37.65,34.25,26.55,60.8,585.5,1226,0.845,0.555,1.395,0.72,1.275,0.995,0.7,1.695,0.905,1.605
Everton,28.66666667,26.16666667,45.13333333,38,418,3420,38,43,31,74,39.33333333,3.666666667,4.333333333,72.33333333,3.666666667,45.9,42.56666667,32.43333333,75,579.6666667,1238,1.133333333,0.813333333,1.95,1.036666667,1.85,1.21,0.853333333,2.06,1.12,1.973333333
Fiorentina,30.33333333,26.03333333,50.46666667,38,418,3420,38,50.33333333,31.33333333,81.66666667,42.33333333,8,9.666666667,93.33333333,6,52.83333333,45.46666667,35.1,80.56666667,749.6666667,1461,1.323333333,0.826666667,2.146666667,1.116666667,1.94,1.39,0.923333333,2.313333333,1.196666667,2.12
Freiburg,25.33333333,26.36666667,48.13333333,34,374,3060,34,50.66666667,32.66666667,83.33333333,45.33333333,5.333333333,6,46.33333333,0.666666667,47.53333333,42.86666667,32.33333333,75.2,467,1175.666667,1.49,0.96,2.453333333,1.333333333,2.293333333,1.396666667,0.95,2.35,1.263333333,2.213333333
Fulham,28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64
Genoa,36,27.36666667,46.06666667,38,418,3420,38,39.33333333,26.33333333,65.66666667,32.33333333,7,9,95.33333333,5,41.56666667,34.53333333,26.76666667,61.26666667,541,1182,1.033333333,0.693333333,1.726666667,0.853333333,1.546666667,1.093333333,0.703333333,1.8,0.91,1.613333333
Getafe,30.66666667,26.93333333,43.26666667,38,418,3420,38,33.33333333,23.66666667,57,29.33333333,4,5.666666667,125.3333333,6.666666667,35.1,30.63333333,23.63333333,54.26666667,419.3333333,1067.666667,0.88,0.623333333,1.5,0.773333333,1.393333333,0.923333333,0.62,1.546666667,0.806666667,1.43
Granada,31,27.43333333,43.3,38,418,3420,38,46.66666667,30.66666667,77.33333333,43,3.666666667,5,103.6666667,3.666666667,41.66666667,37.76666667,28,65.73333333,452.3333333,1010.333333,1.23,0.806666667,2.036666667,1.13,1.94,1.096666667,0.733333333,1.833333333,0.993333333,1.73
Greuther Furth,29,25.9,43.6,34,374,3060,34,26,15,41,21,5,5,61,0,30,26.2,18.8,44.9,413,976,0.76,0.44,1.21,0.62,1.06,0.88,0.55,1.43,0.77,1.32
Hellas Verona,31,26.36666667,50.06666667,38,418,3420,38,48.66666667,33.66666667,82.33333333,42.66666667,6,6.666666667,92.66666667,5,48.73333333,43.6,34.03333333,77.66666667,668,1550.666667,1.28,0.886666667,2.166666667,1.12,2.006666667,1.283333333,0.896666667,2.183333333,1.146666667,2.043333333
Hertha BSC,33.33333333,26.1,46,34,374,3060,34,40,29,69,36.66666667,3.333333333,4,69,3,39.43333333,36.26666667,28.93333333,65.16666667,532.3333333,1074.666667,1.176666667,0.853333333,2.03,1.08,1.93,1.16,0.85,2.01,1.066666667,1.916666667
Hoffenheim,31,25.93333333,52,34,374,3060,34,52.66666667,38.66666667,91.33333333,50,2.666666667,3.333333333,69.66666667,2,55.43333333,52.86666667,41.46666667,94.3,589,1417.333333,1.55,1.14,2.686666667,1.47,2.606666667,1.63,1.22,2.846666667,1.553333333,2.773333333
Huesca,27,28,48.3,38,418,3420,38,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.73,0.95,1.65
Internazionale,27,28.1,54.4,38,418,3420,38,82.33333333,58.66666667,141,74,8.333333333,10.33333333,78.66666667,2.666666667,75.06666667,67.2,51.26666667,118.4666667,781.6666667,1768.333333,2.166666667,1.543333333,3.71,1.946666667,3.49,1.976666667,1.35,3.326666667,1.77,3.12
Juventus,30.66666667,27.9,55.5,38,418,3420,38,68.33333333,47.66666667,116,59.66666667,8.666666667,10,81.33333333,3.666666667,65.63333333,57.93333333,45.63333333,103.5666667,843,1659.333333,1.796666667,1.253333333,3.053333333,1.57,2.826666667,1.726666667,1.203333333,2.93,1.523333333,2.723333333
Koln,27.66666667,25.83333333,49.26666667,34,374,3060,34,45,33.66666667,78.66666667,42.66666667,2.333333333,3.666666667,70,2,46.5,43.83333333,33.23333333,77.1,491,1231.666667,1.323333333,0.993333333,2.316666667,1.253333333,2.246666667,1.366666667,0.98,2.346666667,1.29,2.27
Lazio,28,28.76666667,52.93333333,38,418,3420,38,70,44.33333333,114.3333333,60.66666667,9.333333333,12.33333333,98,4,60.5,50.93333333,40.3,91.2,836,1627.666667,1.843333333,1.163333333,3.01,1.593333333,2.766666667,1.593333333,1.06,2.653333333,1.34,2.4
Lecce,30,28.7,44.8,38,418,3420,38,52,30,82,41,11,15,98,5,54.7,43.5,32.6,76.1,752,1356,1.37,0.79,2.16,1.08,1.87,1.44,0.86,2.3,1.15,2
Leeds United,26,26.1,54.8,38,418,3420,38,51,35.5,86.5,46.5,4.5,4.5,81,2,50,46.45,36.6,83.05,741,1558,1.345,0.93,2.275,1.22,2.16,1.315,0.96,2.28,1.22,2.185
Leganes,29,26.9,43.9,38,418,3420,38,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,0.79,0.5,1.29,0.71,1.21,1.05,0.73,1.78,0.95,1.68
Leicester City,26.33333333,26.36666667,54.46666667,38,418,3420,38,63.66666667,46.33333333,110,58,5.666666667,7,53,1.333333333,55.26666667,49.73333333,37.6,87.36666667,675.6666667,1477.333333,1.673333333,1.216666667,2.893333333,1.526666667,2.746666667,1.456666667,0.99,2.446666667,1.31,2.3
Lens,27.5,26.25,50.9,38,418,3420,38,56.5,37,93.5,49,7.5,8.5,83.5,7,53.3,46.85,36.35,83.2,753,1629.5,1.485,0.975,2.465,1.29,2.26,1.4,0.955,2.36,1.23,2.19
Levante,29.66666667,27.9,49.23333333,38,418,3420,38,47,32.33333333,79.33333333,41.66666667,5.333333333,8,85.33333333,4,47.86666667,41.66666667,32.53333333,74.23333333,633,1412.666667,1.233333333,0.85,2.09,1.096666667,1.95,1.26,0.856666667,2.113333333,1.096666667,1.953333333
Lille,24,25.26666667,52.5,34.66666667,381.3333333,3120,34.66666667,47.33333333,31,78.33333333,42.66666667,4.666666667,6,72.33333333,3.666666667,46.43333333,41.7,30.86666667,72.63333333,660.6666667,1408,1.353333333,0.893333333,2.25,1.216666667,2.11,1.35,0.893333333,2.236666667,1.203333333,2.093333333
