year,team,players_used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2020-2021,Lorient,27,38,49,416,130,31.3,10.95,3.42,0.1,0.31,20.2,30,9,10,48.6,41.4,0.1,0.4,-1.4
2020-2021,Lyon,29,38,76,601,222,36.9,15.82,5.84,0.11,0.29,17.2,23,11,11,81.4,73,0.12,-5.4,-8
2020-2021,Marseille,31,38,53,374,128,34.2,9.84,3.37,0.13,0.38,18.1,17,4,7,47,41.6,0.11,6,7.4
2020-2021,Metz,27,38,42,425,127,29.9,11.18,3.34,0.08,0.28,20.6,31,7,11,44.1,35.8,0.08,-2.1,-0.8
2020-2021,Monaco,30,38,76,471,160,34,12.39,4.21,0.14,0.4,17.2,21,12,15,68.7,56.9,0.12,7.3,7.1
2020-2021,Montpellier,25,38,60,459,168,36.6,12.08,4.42,0.13,0.35,17.1,27,2,5,51.9,48.1,0.11,8.1,9.9
2020-2021,Nantes,25,38,47,402,120,29.9,10.58,3.16,0.1,0.33,18.9,17,8,9,49,42.2,0.11,-2,-3.2
2020-2021,Nice,31,38,49,402,138,34.3,10.58,3.63,0.1,0.3,17.8,17,7,7,48,42.7,0.11,1,-0.7
2020-2021,Nimes,33,38,40,384,131,34.1,10.11,3.45,0.09,0.25,18.6,17,7,8,43.3,37,0.1,-3.3,-4
2020-2021,Paris,33,38,84,557,200,35.9,14.66,5.26,0.13,0.36,17,33,12,13,80.1,70.1,0.13,3.9,1.9
2020-2021,Reims,29,38,39,358,122,34.1,9.42,3.21,0.09,0.28,19.4,15,5,5,32.7,28.9,0.08,6.3,5.1
2020-2021,Rennes,32,38,50,510,159,31.2,13.42,4.18,0.09,0.3,18.3,32,3,3,47.8,45.4,0.09,2.2,1.6
2020-2021,Saint,40,38,40,432,140,32.4,11.37,3.68,0.08,0.24,18.2,17,6,9,48.7,41.8,0.1,-8.7,-7.8
2020-2021,Strasbourg,26,38,49,419,129,30.8,11.03,3.39,0.09,0.3,18.7,17,10,12,52.8,43.4,0.11,-3.8,-4.4
2021-2022,Angers,30,38,41,384,123,32,10.11,3.24,0.08,0.26,18.2,18,9,9,46.5,39.5,0.11,-5.5,-7.5
2021-2022,Bordeaux,39,38,50,446,145,32.5,11.74,3.82,0.11,0.33,19.2,16,2,4,44.9,41.9,0.1,5.1,6.1
2021-2022,Brest,25,38,48,394,138,35,10.37,3.63,0.1,0.3,17.4,12,7,8,43.4,37,0.1,4.6,4
2021-2022,Clermont,28,38,36,436,134,30.7,11.47,3.53,0.08,0.25,17.7,10,2,3,44.4,41.9,0.1,-8.4,-7.9
2021-2022,Lens,28,38,60,511,183,35.8,13.45,4.82,0.11,0.3,18.6,14,5,5,50.2,46.4,0.09,9.8,8.6
2021-2022,Lille,26,38,45,461,150,32.5,12.13,3.95,0.09,0.27,17.4,15,4,5,50.5,46.6,0.1,-5.5,-5.6
2021-2022,Lorient,29,38,35,442,146,33,11.63,3.84,0.07,0.22,19.3,32,3,3,41.3,39,0.09,-6.3,-7
2021-2022,Lyon,30,38,64,546,192,35.2,14.37,5.05,0.1,0.29,17.1,18,8,8,66.9,60.7,0.11,-2.9,-4.7
2021-2022,Marseille,27,38,61,489,157,32.1,12.87,4.13,0.1,0.32,17.8,28,10,10,58.2,50.5,0.1,2.8,0.5
2021-2022,Metz,36,38,33,370,112,30.3,9.74,2.95,0.09,0.29,20.5,16,1,1,29.2,28.4,0.08,3.8,3.6
2021-2022,Monaco,27,38,62,445,153,34.4,11.71,4.03,0.12,0.35,17.3,17,9,9,59.3,52.3,0.12,2.7,0.7
2021-2022,Montpellier,26,38,48,433,151,34.9,11.39,3.97,0.1,0.3,19.6,38,3,4,42.7,39.6,0.09,5.3,5.4
2021-2022,Nantes,26,38,53,420,145,34.5,11.05,3.82,0.11,0.33,17.2,13,5,5,45.5,41.6,0.1,7.5,6.4
2021-2022,Nice,27,38,52,442,144,32.6,11.63,3.79,0.1,0.31,16.9,12,8,10,55.6,48,0.11,-3.6,-4
2021-2022,Paris,36,38,88,555,202,36.4,14.61,5.32,0.15,0.4,17.3,29,7,8,76.7,70.6,0.13,11.3,10.4
2021-2022,Reims,35,38,42,389,137,35.2,10.24,3.61,0.1,0.28,18.5,5,4,6,37.7,32.8,0.09,4.3,5.2
2021-2022,Rennes,28,38,81,548,194,35.4,14.42,5.11,0.14,0.4,16.1,14,4,4,62.8,59.6,0.11,18.2,17.4
2021-2022,Saint,39,38,41,434,141,32.5,11.42,3.71,0.08,0.26,20,23,5,5,38.3,34.5,0.08,2.7,1.5
2021-2022,Strasbourg,26,38,56,470,150,31.9,12.37,3.95,0.11,0.33,16.8,10,6,8,55.6,49.4,0.11,0.4,0.6
2021-2022,Troyes,35,38,35,379,120,31.7,9.97,3.16,0.08,0.24,18.7,9,6,7,39.2,33.8,0.09,-4.2,-4.8
2019-2020,Augsburg,28,34,45,358,129,36,10.53,3.79,0.12,0.33,19,24,3,5,43.1,39.1,0.11,1.9,2.9
2019-2020,Bayern,29,34,97,609,243,39.9,17.91,7.15,0.15,0.37,16.5,13,6,6,89.5,84.8,0.14,7.5,6.2
2019-2020,Dortmund,27,34,84,442,188,42.5,13,5.53,0.19,0.44,16.7,14,2,2,61,59.5,0.14,23,22.5
2019-2020,Dusseldorf,28,34,36,424,114,26.9,12.47,3.35,0.08,0.28,20,20,4,4,35.9,32.7,0.08,0.1,-0.7
2019-2020,Eintracht,27,34,57,500,170,34,14.71,5,0.11,0.32,16.7,16,2,2,59.5,58,0.12,-2.5,-3
2019-2020,Freiburg,26,34,46,442,138,31.2,13,4.06,0.09,0.3,17.7,27,5,6,46.7,42,0.1,-0.7,-1
2019-2020,Monchengladbach,25,34,64,475,187,39.4,13.97,5.5,0.13,0.32,17,26,4,6,72,67.2,0.15,-8,-7.2
2019-2020,Hertha,32,34,45,357,119,33.3,10.5,3.5,0.12,0.35,17.7,12,3,3,43.1,40.7,0.12,1.9,1.3
2019-2020,Hoffenheim,31,34,52,447,154,34.5,13.15,4.53,0.11,0.32,17.1,24,3,4,56.1,53,0.12,-4.1,-4
2019-2020,Koln,29,34,50,413,147,35.6,12.15,4.32,0.12,0.33,16.8,20,2,4,48.9,46.3,0.12,1.1,1.7
2019-2020,Bayer,24,34,57,492,182,37,14.47,5.35,0.11,0.3,16.7,6,2,2,59.1,57.5,0.12,-2.1,-2.5
2019-2020,Mainz,25,34,42,450,139,30.9,13.24,4.09,0.09,0.28,18.9,13,3,3,48.2,45.8,0.1,-6.2,-6.8
2019-2020,Paderborn,27,34,37,427,124,29,12.56,3.65,0.08,0.28,19.7,20,2,4,39.2,36.1,0.09,-2.2,-1.1
2019-2020,RB,29,34,81,545,206,37.8,16.03,6.06,0.14,0.37,17,23,5,5,71.3,67.6,0.13,9.7,8.4
2019-2020,Schalke,29,34,35,383,124,32.4,11.26,3.65,0.09,0.27,18.5,10,2,2,37.8,36.2,0.1,-2.8,-3.2
2019-2020,Union,26,34,38,397,130,32.7,11.68,3.82,0.09,0.26,18,7,4,5,41.4,37.6,0.1,-3.4,-3.6
2019-2020,Werder,30,34,40,419,133,31.7,12.32,3.91,0.09,0.28,18.7,11,3,6,39.4,34.7,0.09,0.6,2.3
2019-2020,Wolfsburg,26,34,48,471,153,32.5,13.85,4.5,0.09,0.29,18,12,4,4,52.8,49.7,0.11,-4.8,-5.7
2020-2021,Arminia,26,34,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3
2020-2021,Augsburg,25,34,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4
2020-2021,Bayern,29,34,98,572,219,38.3,16.82,6.44,0.16,0.41,16.9,9,9,10,75.9,68.1,0.12,22.1,20.9
2020-2021,Dortmund,26,34,74,488,184,37.7,14.35,5.41,0.15,0.39,16.7,14,3,7,66.2,60.4,0.12,7.8,10.6
2020-2021,Eintracht,25,34,63,442,162,36.7,13,4.76,0.12,0.34,16.3,12,8,8,58.5,52.2,0.12,4.5,2.8
2020-2021,Freiburg,24,34,51,383,140,36.6,11.26,4.12,0.12,0.32,17.3,17,6,6,45.5,40.9,0.11,5.5,4.1
2020-2021,Monchengladbach,23,34,63,443,165,37.2,13.03,4.85,0.12,0.32,17.4,12,10,11,54.9,46.5,0.11,8.1,6.5
2020-2021,Hertha,32,34,40,377,142,37.7,11.09,4.18,0.1,0.25,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2
2020-2021,Hoffenheim,30,34,51,424,149,35.1,12.47,4.38,0.11,0.31,17.5,20,5,6,51.9,47.3,0.11,-0.9,-1.3
2020-2021,Koln,28,34,33,354,103,29.1,10.41,3.03,0.08,0.28,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9
2020-2021,Bayer,30,34,52,440,164,37.3,12.94,4.82,0.11,0.3,17.9,12,3,3,46.3,44,0.1,5.7,5
2020-2021,Mainz,31,34,39,374,134,35.8,11,3.94,0.09,0.25,17.4,10,5,5,49.9,46,0.13,-10.9,-12
2020-2021,RB,25,34,59,533,189,35.5,15.68,5.56,0.1,0.27,17.4,19,8,10,64.4,56.7,0.11,-5.4,-5.7
2020-2021,Schalke,42,34,24,301,81,26.9,8.85,2.38,0.08,0.3,18.4,11,0,3,28.7,26.3,0.09,-4.7,-2.3
2020-2021,Stuttgart,29,34,54,448,150,33.5,13.18,4.41,0.11,0.32,17.7,12,6,8,51.4,45.1,0.1,2.6,2.9
2020-2021,Union,27,34,50,391,132,33.8,11.5,3.88,0.12,0.34,17.3,8,5,7,46.9,41.3,0.11,3.1,3.7
2020-2021,Werder,27,34,35,356,120,33.7,10.47,3.53,0.08,0.25,19,14,5,5,32.9,29,0.08,2.1,1
2020-2021,Wolfsburg,26,34,57,475,164,34.5,13.97,4.82,0.12,0.34,18.1,14,2,3,49,46.9,0.1,8,8.1
2021-2022,Arminia,26,34,26,361,109,30.2,10.62,3.21,0.07,0.22,19.7,10,2,2,26.3,24.7,0.07,-0.3,-0.7
2021-2022,Augsburg,26,34,39,362,117,32.3,10.65,3.44,0.09,0.29,17.8,11,5,5,36.7,32.8,0.09,2.3,1.2
2021-2022,Bayern,30,34,92,668,255,38.2,19.65,7.5,0.13,0.34,16.7,12,5,5,89,85.1,0.13,3,1.9
2021-2022,Bochum,28,34,37,409,136,33.3,12.03,4,0.08,0.24,18.2,17,4,6,40.6,35.9,0.09,-3.6,-2.9
2021-2022,Dortmund,33,34,81,442,165,37.3,13,4.85,0.16,0.42,16.7,20,11,11,64,55.9,0.13,17,14.1
2021-2022,Eintracht,27,34,43,446,136,30.5,13.12,4,0.09,0.31,17.8,14,1,2,41.6,40.1,0.09,1.4,1.9
2021-2022,Freiburg,26,34,55,457,153,33.5,13.44,4.5,0.11,0.33,16.7,20,5,6,50.4,45.7,0.1,4.6,4.3
2021-2022,Monchengladbach,26,34,54,489,174,35.6,14.38,5.12,0.1,0.28,16.8,13,5,7,56.2,50.6,0.11,-2.2,-1.6
2021-2022,Greuther,29,34,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,30,26.2,0.09,-4,-5.2
2021-2022,Hertha,36,34,35,365,119,32.6,10.74,3.5,0.09,0.27,17.5,15,3,3,33.3,30.9,0.09,1.7,1.1
2021-2022,Hoffenheim,32,34,55,452,150,33.2,13.29,4.41,0.12,0.37,15.1,13,0,0,58.3,58.3,0.13,-3.3,-3.3
2021-2022,Koln,26,34,52,467,149,31.9,13.74,4.38,0.11,0.34,16.3,9,1,1,50.1,49.3,0.11,1.9,1.7
2021-2022,Bayer,29,34,76,453,184,40.6,13.32,5.41,0.16,0.4,16.4,11,2,6,62.6,57.8,0.13,13.4,16.2
2021-2022,Mainz,28,34,49,465,151,32.5,13.68,4.44,0.1,0.3,17.6,22,4,4,50.4,47.2,0.1,-1.4,-2.2
2021-2022,RB,29,34,72,429,169,39.4,12.62,4.97,0.15,0.38,16.3,18,8,9,64.5,58.4,0.14,7.5,5.6
2021-2022,Stuttgart,34,34,40,449,153,34.1,13.21,4.5,0.09,0.25,17.5,10,1,3,43.7,41.4,0.09,-3.7,-2.4
2021-2022,Union,28,34,50,408,149,36.5,12,4.38,0.11,0.3,16.2,7,5,5,47,43.3,0.11,3,1.7
2021-2022,Wolfsburg,30,34,42,416,137,32.9,12.24,4.03,0.09,0.28,17.9,19,3,4,47.7,44.9,0.11,-5.7,-5.9
2019-2020,Atalanta,30,38,96,700,256,36.6,18.42,6.74,0.13,0.35,17.3,31,7,10,83.5,75.6,0.11,12.5,13.4
2019-2020,Bologna,31,38,48,549,160,29.1,14.45,4.21,0.08,0.27,18.8,29,5,6,56.9,52.2,0.1,-8.9,-9.2
2019-2020,Brescia,32,38,34,414,138,33.3,10.89,3.63,0.07,0.22,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2
2019-2020,Cagliari,33,38,50,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,4,6,41.8,37.1,0.09,8.2,8.9
2019-2020,Fiorentina,33,38,48,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,9,11,53.6,45.4,0.09,-5.6,-6.4
2019-2020,Genoa,34,38,46,420,140,33.3,11.05,3.68,0.08,0.25,19.2,24,11,16,48.7,36.2,0.09,-2.7,-1.2
2019-2020,Hellas,30,38,45,435,146,33.6,11.45,3.84,0.09,0.25,17.4,12,8,9,50.5,43.6,0.1,-5.5,-6.6
2019-2020,Internazionale,29,38,80,607,216,35.6,15.97,5.68,0.12,0.32,17.6,22,10,11,69.4,60.8,0.1,10.6,9.2
2019-2020,Juventus,30,38,73,665,224,33.7,17.5,5.89,0.09,0.27,19,40,13,14,71.1,60.1,0.09,1.9,-0.1
2019-2020,Lazio,27,38,77,562,204,36.3,14.79,5.37,0.11,0.3,18.2,21,15,18,68,53.9,0.1,9,8.1
2019-2020,Lecce,30,38,52,513,165,32.2,13.5,4.34,0.08,0.25,19.6,19,11,15,54.7,43.5,0.09,-2.7,-2.5
2019-2020,Milan,32,38,60,610,186,30.5,16.05,4.89,0.09,0.28,19,24,8,9,62.8,56,0.09,-2.8,-4
2019-2020,Napoli,25,38,60,683,225,32.9,17.97,5.92,0.08,0.24,19,17,5,5,61.7,57.8,0.09,-1.7,-2.8
2019-2020,Parma,25,38,53,458,145,31.7,12.05,3.82,0.11,0.34,19,23,4,6,48.4,43.7,0.1,4.6,5.3
2019-2020,Roma,31,38,73,630,198,31.4,16.58,5.21,0.1,0.31,18.7,35,12,14,73.2,62.8,0.1,-0.2,-1.8
2019-2020,SPAL,34,38,27,462,117,25.3,12.16,3.08,0.05,0.19,19.4,23,5,7,40.7,35.2,0.08,-13.7,-13.2
2019-2020,Sampdoria,31,38,48,549,161,29.3,14.45,4.24,0.07,0.24,19.4,25,9,12,50.2,40.8,0.08,-2.2,-1.8
2019-2020,Sassuolo,31,38,69,547,191,34.9,14.39,5.03,0.12,0.34,19.8,32,5,6,52.9,48.2,0.09,16.1,15.8
2019-2020,Torino,27,38,44,438,144,32.9,11.53,3.79,0.08,0.26,18.4,21,7,8,44.8,39.4,0.09,-0.8,-2.4
2019-2020,Udinese,25,38,37,469,141,30.1,12.34,3.71,0.08,0.26,18.5,12,0,0,41.6,41.6,0.09,-4.6,-4.6
2020-2021,Atalanta,30,38,90,614,221,36,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7
2020-2021,Benevento,29,38,40,411,128,31.1,10.82,3.37,0.09,0.27,17.7,17,5,7,40.6,35,0.09,-0.6,0
2020-2021,Bologna,37,38,49,495,175,35.4,13.03,4.61,0.09,0.26,18.5,24,3,4,54.6,51.1,0.11,-5.6,-5.1
2020-2021,Cagliari,32,38,43,429,122,28.4,11.29,3.21,0.09,0.32,17.4,13,4,5,47.1,43.4,0.1,-4.1,-4.4
2020-2021,Crotone,31,38,44,353,111,31.4,9.29,2.92,0.1,0.32,18.8,15,9,9,40.4,33.4,0.1,3.6,1.6
2020-2021,Fiorentina,30,38,44,366,115,31.4,9.63,3.03,0.1,0.33,16.9,14,6,6,44.9,40.2,0.11,-0.9,-2.2
2020-2021,Genoa,34,38,46,338,120,35.5,8.89,3.16,0.12,0.35,18,11,4,4,38.8,35.6,0.11,7.2,6.4
2020-2021,Hellas,32,38,38,400,118,29.5,10.53,3.11,0.09,0.3,16.2,13,3,3,45.3,43,0.11,-7.3,-8
2020-2021,Internazionale,25,38,84,543,194,35.7,14.29,5.11,0.14,0.39,16.3,17,8,9,74.2,67.2,0.13,9.8,8.8
2020-2021,Juventus,30,38,76,585,206,35.2,15.39,5.42,0.12,0.33,16.8,23,8,10,74.4,67,0.12,1.6,1
2020-2021,Lazio,30,38,59,514,175,34,13.53,4.61,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,0.8,2.3
2020-2021,Milan,29,38,72,537,184,34.3,14.13,4.84,0.11,0.31,18.4,30,15,20,70.7,56,0.11,1.3,1
2020-2021,Napoli,25,38,83,637,217,34.1,16.76,5.71,0.12,0.35,18.1,25,7,8,67.7,61.4,0.1,15.3,14.6
2020-2021,Parma,42,38,39,392,123,31.4,10.32,3.24,0.09,0.28,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6
2020-2021,Roma,31,38,67,537,191,35.6,14.13,5.03,0.11,0.31,16.4,14,7,8,65.3,59,0.12,1.7,1
2020-2021,Sampdoria,27,38,52,422,134,31.8,11.11,3.53,0.11,0.35,17.5,15,5,6,45.4,41.1,0.1,6.6,5.9
2020-2021,Sassuolo,28,38,61,516,164,31.8,13.58,4.32,0.09,0.29,18.7,25,13,14,58.4,47.7,0.09,2.6,0.3
2020-2021,Spezia,35,38,52,382,130,34,10.05,3.42,0.13,0.37,16.8,10,4,5,46.6,42.7,0.12,5.4,5.3
2020-2021,Torino,29,38,49,457,144,31.5,12.03,3.79,0.1,0.31,17.5,40,5,6,50,45.3,0.1,-1,-1.3
2020-2021,Udinese,33,38,40,410,125,30.5,10.79,3.29,0.09,0.29,18.1,13,4,4,45.7,42.9,0.11,-5.7,-6.9
2021-2022,Atalanta,32,38,62,598,167,27.9,15.74,4.39,0.1,0.34,16.5,16,5,6,62.4,58.1,0.1,-0.4,-1.1
2021-2022,Bologna,36,38,43,434,143,32.9,11.42,3.76,0.09,0.27,18.1,14,4,5,44.9,41,0.1,-1.9,-2
2021-2022,Cagliari,33,38,34,420,117,27.9,11.05,3.08,0.07,0.26,17.3,17,3,4,39,36.4,0.09,-5,-5.4
2021-2022,Empoli,28,38,47,490,151,30.8,12.89,3.97,0.08,0.26,18.5,16,7,7,44.9,39.3,0.08,2.1,0.7
2021-2022,Fiorentina,28,38,59,501,172,34.3,13.18,4.53,0.1,0.29,17.2,25,9,12,60,50.8,0.11,-1,-0.8
2021-2022,Genoa,40,38,26,397,106,26.7,10.45,2.79,0.05,0.19,18.8,12,6,7,37.2,31.8,0.08,-11.2,-11.8
2021-2022,Hellas,31,38,63,455,152,33.4,11.97,4,0.12,0.37,16.9,15,7,8,50.4,44.2,0.1,12.6,11.8
2021-2022,Internazionale,27,38,83,667,239,35.8,17.55,6.29,0.11,0.32,15.9,13,7,11,81.6,73.6,0.11,1.4,2.4
2021-2022,Juventus,32,38,56,517,166,32.1,13.61,4.37,0.1,0.31,17.5,18,5,6,51.4,46.7,0.09,4.6,4.3
2021-2022,Lazio,27,38,74,445,185,41.6,11.71,4.87,0.15,0.36,17.4,14,7,9,55.3,48.2,0.11,18.7,18.8
2021-2022,Milan,28,38,66,592,187,31.6,15.58,4.92,0.1,0.33,18.4,23,5,8,59.7,54.1,0.09,6.3,6.9
2021-2022,Napoli,27,38,74,565,186,32.9,14.87,4.89,0.11,0.34,18.2,25,10,14,57.8,46.6,0.08,16.2,17.4
2021-2022,Roma,29,38,58,592,184,31.1,15.58,4.84,0.09,0.28,17.3,21,7,9,65.1,58.1,0.1,-7.1,-7.1
2021-2022,Salernitana,42,38,32,426,130,30.5,11.21,3.42,0.07,0.22,18.1,20,4,5,36.5,32.9,0.08,-4.5,-4.9
2021-2022,Sampdoria,34,38,42,386,118,30.6,10.16,3.11,0.1,0.34,18.1,12,2,4,36.7,33.4,0.09,5.3,6.6
2021-2022,Sassuolo,29,38,60,569,204,35.9,14.97,5.37,0.09,0.26,18.8,14,7,7,55.7,50.2,0.09,4.3,2.8
2021-2022,Spezia,30,38,38,381,127,33.3,10.03,3.34,0.09,0.28,18.7,17,3,5,40.1,36.2,0.1,-2.1,-1.2
2021-2022,Torino,31,38,43,470,142,30.2,12.37,3.74,0.08,0.26,17.3,16,6,6,48.7,44.1,0.1,-5.7,-7.1
2021-2022,Udinese,29,38,58,505,181,35.8,13.29,4.76,0.11,0.3,17.8,19,3,4,51.3,48.2,0.1,6.7,6.8
2021-2022,Venezia,39,38,34,349,113,32.4,9.18,2.97,0.09,0.27,18.2,22,3,5,36.5,32.4,0.09,-2.5,-1.4