players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
29,25.8,53.8,38,418,3420,38,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.0,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
28,25.7,44.1,38,418,3420,38,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2.0,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
27,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1.0,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
25,26.4,52.2,38,418,3420,38,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
22,28.0,41.9,38,418,3420,38,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,1.08,0.79,1.87,1.0,1.79,1.25,0.85,2.1,1.19,2.04,/en/squads/943e8050/2019-2020/Burnley-Stats
27,25.5,60.4,38,418,3420,38,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
25,29.4,44.8,38,418,3420,38,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
24,25.5,49.0,38,418,3420,38,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,1.11,0.84,1.95,1.08,1.92,1.34,1.0,2.34,1.32,2.32,/en/squads/d3fd31cc/2019-2020/Everton-Stats
24,26.1,57.1,38,418,3420,38,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
24,26.6,62.9,38,418,3420,38,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,2.18,1.82,4.0,2.05,3.87,1.81,1.39,3.21,1.71,3.1,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
24,26.9,66.2,38,418,3420,38,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4.0,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,24.8,55.8,38,418,3420,38,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,26.5,39.0,38,418,3420,38,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,1.0,0.76,1.76,1.0,1.76,0.94,0.71,1.64,0.91,1.62,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
30,26.0,49.3,38,418,3420,38,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65,/en/squads/1c781004/2019-2020/Norwich-City-Stats
26,26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
25,25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33,/en/squads/33c895d4/2019-2020/Southampton-Stats
29,26.7,52.0,38,418,3420,38,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
26,28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95,/en/squads/2abfe087/2019-2020/Watford-Stats
29,27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
21,26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
29,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,25.8,51.1,38,418,3420,38,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,28.3,42.1,38,418,3420,38,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,/en/squads/943e8050/2020-2021/Burnley-Stats
27,26.0,60.9,38,418,3420,38,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,29.1,40.6,38,418,3420,38,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,26.3,46.4,38,418,3420,38,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,/en/squads/fd962109/2020-2021/Fulham-Stats
23,26.1,57.3,38,418,3420,38,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,26.5,54.3,38,418,3420,38,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,26.8,62.1,38,418,3420,38,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.2,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,26.1,63.5,38,418,3420,38,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,25.6,55.7,38,418,3420,38,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,27.1,38.8,38,418,3420,38,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,26.7,41.7,38,418,3420,38,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,26.6,52.0,38,418,3420,38,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64,/en/squads/33c895d4/2020-2021/Southampton-Stats
24,27.2,51.6,38,418,3420,38,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
30,26.4,37.9,38,418,3420,38,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
24,27.8,43.2,38,418,3420,38,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,658,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
27,26.3,49.3,38,418,3420,38,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
27,24.4,52.8,38,418,3420,38,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,1.58,1.08,2.66,1.45,2.53,1.59,1.06,2.65,1.45,2.51,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
31,26.1,46.5,38,418,3420,38,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,1.32,1.11,2.42,1.24,2.34,1.16,0.92,2.08,1.1,2.02,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
29,25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95,/en/squads/cd051869/2021-2022/Brentford-Stats
26,26.2,54.4,38,418,3420,38,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,1547,1.05,0.79,1.84,0.95,1.74,1.21,0.85,2.06,1.07,1.92,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
23,28.5,40.2,38,418,3420,38,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,972,0.84,0.68,1.53,0.82,1.5,1.05,0.82,1.87,1.0,1.82,/en/squads/943e8050/2021-2022/Burnley-Stats
26,27.4,61.8,38,418,3420,38,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,1967,1.97,1.37,3.34,1.76,3.13,1.67,1.18,2.85,1.49,2.67,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
24,27.1,51.1,38,418,3420,38,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,1229,1.32,0.82,2.13,1.16,1.97,1.22,0.82,2.04,1.06,1.87,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
33,26.7,40.0,38,418,3420,38,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,1100,1.11,0.76,1.87,0.95,1.71,1.09,0.75,1.83,0.94,1.69,/en/squads/d3fd31cc/2021-2022/Everton-Stats
29,26.1,52.3,38,418,3420,38,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,1483,1.11,0.68,1.79,0.97,1.66,1.17,0.82,1.99,1.06,1.89,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
28,26.5,52.0,38,418,3420,38,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,1356,1.63,1.21,2.84,1.58,2.79,1.26,0.9,2.16,1.22,2.12,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
27,27.7,62.7,38,418,3420,38,94,71,165,87,7,8,50,1,88.7,82.7,63.5,146.2,885,2243,2.47,1.87,4.34,2.29,4.16,2.33,1.67,4.0,2.18,3.85,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
26,27.0,67.9,38,418,3420,38,96,63,159,89,7,9,42,1,88.7,81.4,65.5,146.9,1145,2421,2.53,1.66,4.18,2.34,4.0,2.33,1.72,4.06,2.14,3.87,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
29,27.2,52.7,38,418,3420,38,56,46,102,53,3,5,77,2,55.8,51.9,42.5,94.3,784,1568,1.47,1.21,2.68,1.39,2.61,1.47,1.12,2.59,1.36,2.48,/en/squads/19538871/2021-2022/Manchester-United-Stats
29,27.5,40.4,38,418,3420,38,41,23,64,38,3,3,81,2,38.1,35.9,25.8,61.7,544,923,1.08,0.61,1.68,1.0,1.61,1.0,0.68,1.68,0.94,1.62,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
28,26.2,42.9,38,418,3420,38,21,16,37,18,3,3,57,1,32.3,30.0,24.3,54.3,566,1031,0.55,0.42,0.97,0.47,0.89,0.85,0.64,1.49,0.79,1.43,/en/squads/1c781004/2021-2022/Norwich-City-Stats
25,25.7,47.7,38,418,3420,38,41,26,67,37,4,4,65,2,44.8,41.6,32.5,74.1,728,1326,1.08,0.68,1.76,0.97,1.66,1.18,0.85,2.03,1.1,1.95,/en/squads/33c895d4/2021-2022/Southampton-Stats
25,26.5,51.8,38,418,3420,38,63,50,113,58,5,5,69,1,61.2,57.3,47.0,104.4,791,1459,1.66,1.32,2.97,1.53,2.84,1.61,1.24,2.85,1.51,2.75,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
30,28.4,40.7,38,418,3420,38,33,26,59,32,1,2,63,3,40.0,38.4,32.5,70.9,557,1070,0.87,0.68,1.55,0.84,1.53,1.05,0.86,1.91,1.01,1.87,/en/squads/2abfe087/2021-2022/Watford-Stats
25,28.2,47.9,38,418,3420,38,58,46,104,54,4,6,52,3,51.4,46.8,37.4,84.2,646,1449,1.53,1.21,2.74,1.42,2.63,1.35,0.99,2.34,1.23,2.22,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
26,27.3,49.5,38,418,3420,38,35,22,57,34,1,1,62,2,37.5,36.8,26.4,63.2,723,1283,0.92,0.58,1.5,0.89,1.47,0.99,0.69,1.68,0.97,1.66,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
32,27.6,41.5,38,418,3420,38,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,0.89,0.53,1.42,0.74,1.26,1.03,0.71,1.74,0.91,1.62,/en/squads/8d6fd021/2019-2020/Alaves-Stats
26,26.7,48.7,38,418,3420,38,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,1.05,0.61,1.66,0.84,1.45,1.09,0.69,1.78,0.89,1.58,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
30,26.1,48.6,38,418,3420,38,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,1.32,0.92,2.24,1.16,2.08,1.5,1.04,2.53,1.33,2.37,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
28,27.8,66.4,38,418,3420,38,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,2.21,1.63,3.84,2.05,3.68,1.75,1.3,3.05,1.62,2.93,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,27.5,56.7,38,418,3420,38,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,1.26,0.92,2.18,1.11,2.03,1.34,0.97,2.31,1.19,2.16,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,25.8,51.7,38,418,3420,38,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,0.97,0.68,1.66,0.82,1.5,1.03,0.69,1.72,0.85,1.54,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
26,29.3,46.3,38,418,3420,38,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,1.0,0.63,1.63,0.82,1.45,1.1,0.68,1.79,0.9,1.58,/en/squads/bea5c710/2019-2020/Eibar-Stats
31,27.7,47.4,38,418,3420,38,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,0.66,0.45,1.11,0.55,1.0,1.02,0.72,1.74,0.94,1.66,/en/squads/a8661628/2019-2020/Espanyol-Stats
30,27.5,45.0,38,418,3420,38,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,1.11,0.82,1.92,0.95,1.76,1.09,0.73,1.83,0.95,1.69,/en/squads/7848bd64/2019-2020/Getafe-Stats
27,26.8,43.8,38,418,3420,38,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,1.32,0.89,2.21,1.18,2.08,1.18,0.8,1.98,1.08,1.88,/en/squads/a0435291/2019-2020/Granada-Stats
29,26.9,43.9,38,418,3420,38,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,0.79,0.5,1.29,0.71,1.21,1.05,0.73,1.78,0.95,1.68,/en/squads/7c6f2c78/2019-2020/Leganes-Stats
29,27.7,48.3,38,418,3420,38,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,1.18,0.74,1.92,1.05,1.79,1.27,0.95,2.22,1.16,2.12,/en/squads/9800b6a1/2019-2020/Levante-Stats
32,26.8,45.0,38,418,3420,38,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,1.03,0.55,1.58,0.82,1.37,1.08,0.67,1.75,0.88,1.55,/en/squads/2aa12281/2019-2020/Mallorca-Stats
31,27.7,47.4,38,418,3420,38,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,1.21,0.68,1.89,1.0,1.68,1.3,0.91,2.21,1.14,2.04,/en/squads/03c57e2b/2019-2020/Osasuna-Stats
26,27.6,58.8,38,418,3420,38,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,1.82,1.37,3.18,1.53,2.89,1.79,1.31,3.1,1.56,2.87,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
27,24.8,56.2,38,418,3420,38,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,1.42,1.0,2.42,1.32,2.32,1.29,0.93,2.22,1.19,2.12,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats
26,27.7,57.9,38,418,3420,38,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,1.39,0.92,2.32,1.21,2.13,1.4,1.01,2.41,1.26,2.27,/en/squads/ad2be733/2019-2020/Sevilla-Stats
28,27.0,49.0,38,418,3420,38,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,1.18,0.89,2.08,1.05,1.95,1.14,0.83,1.97,0.98,1.81,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
30,27.1,44.7,38,418,3420,38,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,0.82,0.5,1.32,0.74,1.24,0.96,0.63,1.59,0.85,1.48,/en/squads/17859612/2019-2020/Valladolid-Stats
25,27.6,52.9,38,418,3420,38,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,1.63,1.05,2.68,1.37,2.42,1.67,1.13,2.81,1.45,2.59,/en/squads/2a8183b3/2019-2020/Villarreal-Stats
30,28.7,42.8,38,418,3420,38,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,26.6,49.9,38,418,3420,38,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,27.3,52.3,38,418,3420,38,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,26.4,65.5,38,418,3420,38,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,27.9,53.6,38,418,3420,38,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.94,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,26.6,53.3,38,418,3420,38,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,28.8,34.8,38,418,3420,38,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,28.2,49.3,38,418,3420,38,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,28.1,47.5,38,418,3420,38,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.3,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,26.7,43.3,38,418,3420,38,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.0,0.91,0.62,1.53,0.8,1.42,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,27.4,41.4,38,418,3420,38,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68,/en/squads/a0435291/2020-2021/Granada-Stats
27,28.0,48.3,38,418,3420,38,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.73,0.95,1.65,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,28.0,52.2,38,418,3420,38,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,27.9,43.2,38,418,3420,38,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
